geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,geolocation_state_korean
1001,-23.550189776551765,-46.6340235559042,sao paulo,SP,상파울루
1002,-23.54814573176355,-46.63497921074498,sao paulo,SP,상파울루
1003,-23.54899372481316,-46.635731309975874,sao paulo,SP,상파울루
1004,-23.549798842277006,-46.63475694378971,sao paulo,SP,상파울루
1005,-23.549456199830747,-46.63673294803691,sao paulo,SP,상파울루
1006,-23.55010181145287,-46.636136735174176,sao paulo,SP,상파울루
1007,-23.550046202351666,-46.637251459637646,sao paulo,SP,상파울루
1008,-23.54600174938346,-46.63588592135778,sao paulo,SP,상파울루
1009,-23.546835208320868,-46.636490695312204,sao paulo,SP,상파울루
1010,-23.54638943836927,-46.635226081509046,sao paulo,SP,상파울루
1011,-23.54690864025111,-46.63558202636042,sao paulo,SP,상파울루
1012,-23.547789733146864,-46.63485900505736,são paulo,SP,상파울루
1013,-23.5471420283239,-46.63423580006204,sao paulo,SP,상파울루
1014,-23.545912805690417,-46.63361537124495,sao paulo,SP,상파울루
1015,-23.54766574938348,-46.631558570722675,sao paulo,SP,상파울루
1016,-23.54897640702995,-46.63235192955855,sao paulo,SP,상파울루
1017,-23.54953127194786,-46.631023845552235,são paulo,SP,상파울루
1018,-23.550928517909007,-46.63243146837755,sao paulo,SP,상파울루
1019,-23.551774137807584,-46.63089338270138,sao paulo,SP,상파울루
1020,-23.55233565155142,-46.630049709845736,são paulo,SP,상파울루
1021,-23.543000459064803,-46.63214323386248,sao paulo,SP,상파울루
1022,-23.544921826153427,-46.631931335611945,sao paulo,SP,상파울루
1023,-23.542330784361457,-46.63137340438761,sao paulo,SP,상파울루
1024,-23.54140143278026,-46.62990400057277,são paulo,SP,상파울루
1025,-23.540291945676326,-46.630928059419446,sao paulo,SP,상파울루
1026,-23.539657127270946,-46.6318842127058,são paulo,SP,상파울루
1027,-23.538082328385336,-46.6306686750678,sao paulo,SP,상파울루
1028,-23.535932541180536,-46.63355514575825,sao paulo,SP,상파울루
1029,-23.541373048980535,-46.633415988443026,sao paulo,SP,상파울루
1030,-23.53954929175343,-46.633023251513535,são paulo,SP,상파울루
1031,-23.54190585344045,-46.63508761691669,sao paulo,SP,상파울루
1032,-23.540124454559955,-46.63519354379768,sao paulo,SP,상파울루
1033,-23.539271437077804,-46.635878084214845,sao paulo,SP,상파울루
1034,-23.542515317419948,-46.63736744880091,sao paulo,SP,상파울루
1035,-23.541614488738944,-46.641549142526515,sao paulo,SP,상파울루
1036,-23.541648452336283,-46.641443277359336,sao paulo,SP,상파울루
1037,-23.545411016454082,-46.63892437204838,sao paulo,SP,상파울루
1038,-23.54390737962768,-46.63999380609391,sao paulo,SP,상파울루
1039,-23.54137085777194,-46.63916528885119,sao paulo,SP,상파울루
1040,-23.541028179008823,-46.63832469496941,sao paulo,SP,상파울루
1041,-23.54390458746036,-46.640046486444724,sao paulo,SP,상파울루
1042,-23.54485294953175,-46.640410456031695,sao paulo,SP,상파울루
1043,-23.545765991186382,-46.641502464541404,são paulo,SP,상파울루
1044,-23.545598238423416,-46.64145267015315,sao paulo,SP,상파울루
1045,-23.542345366178562,-46.64252697570119,sao paulo,SP,상파울루
1046,-23.545930039168812,-46.64399751778182,sao paulo,SP,상파울루
1047,-23.546187607081748,-46.64106743356167,sao paulo,SP,상파울루
1048,-23.54711318884073,-46.63983987489639,são paulo,SP,상파울루
1049,-23.54701123674601,-46.63916570493306,sao paulo,SP,상파울루
1050,-23.54922916358051,-46.64303023455153,sao paulo,SP,상파울루
1101,-23.528286860378213,-46.631957535031056,sao paulo,SP,상파울루
11010,-23.933572609891648,-46.32962527759821,santos,SP,상파울루
11013,-23.937701640508337,-46.32599744254459,santos,SP,상파울루
11015,-23.95315331127147,-46.31920772096948,santos,SP,상파울루
1102,-23.52557140695574,-46.63028748439394,são paulo,SP,상파울루
11020,-23.968456147951258,-46.305470073272346,santos,SP,상파울루
11025,-23.970493176810965,-46.308195291141395,santos,SP,상파울루
1103,-23.53546844605213,-46.630290773383486,são paulo,SP,상파울루
11030,-23.984858304705913,-46.30206995146367,santos,SP,상파울루
11031,-23.93304734722135,-46.32555732001267,santos,SP,상파울루
11035,-23.980419737383784,-46.30448134840116,santos,SP,상파울루
1104,-23.534952165368537,-46.62957039061347,sao paulo,SP,상파울루
11040,-23.97231558492791,-46.31441392365002,santos,SP,상파울루
11045,-23.969746244887773,-46.32193882675136,santos,SP,상파울루
1105,-23.53409398177586,-46.629077680173324,sao paulo,SP,상파울루
11050,-23.957512627903707,-46.32679999074164,santos,SP,상파울루
11055,-23.965733873195106,-46.32872174420308,santos,SP,상파울루
1106,-23.53022077513783,-46.62822125953078,sao paulo,SP,상파울루
11060,-23.962573924300305,-46.33409872636013,santos,SP,상파울루
11065,-23.96522724354383,-46.343581343498315,santos,SP,상파울루
1107,-23.52608789203137,-46.6295898871866,sao paulo,SP,상파울루
11070,-23.95674767368625,-46.34527196911746,santos,SP,상파울루
11075,-23.95460047631287,-46.3377311534732,santos,SP,상파울루
1108,-23.527232171325494,-46.63035441819986,sao paulo,SP,상파울루
11080,-23.944443210167957,-46.35173472578567,santos,SP,상파울루
11081,-23.9347458763459,-46.34297478233758,santos,SP,상파울루
11082,-23.938905885968538,-46.33965586314025,santos,SP,상파울루
11085,-23.9378287823699,-46.35659153288517,santos,SP,상파울루
11086,-23.945181237945636,-46.374395821719865,santos,SP,상파울루
11087,-23.94615662014345,-46.37916708149343,santos,SP,상파울루
11088,-23.94091079817134,-46.384935389282745,santos,SP,상파울루
11089,-23.94019291018218,-46.36943044979018,santos,SP,상파울루
1109,-23.524624899587646,-46.627103243360565,sao paulo,SP,상파울루
11090,-23.937199995920544,-46.3763524828186,santos,SP,상파울루
11095,-23.92726582155666,-46.37847494477223,santos,SP,상파울루
1120,-23.530162529753113,-46.63951141166309,sao paulo,SP,상파울루
11200,-18.43289628656969,-43.57730621812254,caruara,SP,상파울루
1121,-23.527866658998825,-46.635256920492864,sao paulo,SP,상파울루
1122,-23.53113059653861,-46.638324826141925,são paulo,SP,상파울루
1123,-23.529164543710603,-46.636582392674725,sao paulo,SP,상파울루
1124,-23.528221233825743,-46.6330954010969,sao paulo,SP,상파울루
1125,-23.52728844957164,-46.64016432350874,sao paulo,SP,상파울루
11250,-23.818390396829994,-46.080623703430774,bertioga,SP,상파울루
1126,-23.52706654933756,-46.6391527868084,sao paulo,SP,상파울루
